Input.sentence,Input.info,Answer.MakeSense.on,Answer.rewrite
London 's Financial Times-Stock Exchange 100-share index fell 27.9 points to 2135.5,[ 'index' 'is a finger' ],FALSE,London 's Financial Times-Stock Exchange 100-share index that is a finger fell 27.9 points to 2135.5
Take Your Vacation In a Hurricane Area,[ 'area' 'grassy' ],TRUE,Take Your Vacation In a Hurricane Area that is grassy
London 's Financial Times-Stock Exchange 100-share index fell 27.9 points to 2135.5,[ 'point' 'sharp' ],TRUE,London 's Financial Times-Stock Exchange 100-share index fell 27.9 sharp points to 2135.5
American Home Products Corp. proposes to acquire the company,[ 'company' 'name' ],TRUE,American Home Products Corp. proposes to acquire the company name
Housing Developers Try Brand-Name Buildings,[ 'building' 'white' ],TRUE,Housing Developers Try Brand-Name White Buildings
However more money managers are reassured that profit is regaining importance,[ 'manager' 'overlooking action' ],TRUE,However more money managers overlooking action are reassured that profit is regaining importance
South African gold stocks ended marginally firmer,[ 'gold' 'brown' ],FALSE,South African gold stocks that are brown ended marginally firmer
In Los Angeles it 's important to catch people just after work,[ 'people' 'waiting near' 'luggage' ],TRUE,In Los Angeles it 's important to catch people waiting near luggage just after work
The name Maidenform was coined by a third business partner Enid Bissett,[ 'name' 'spelled out in' 'block' ],TRUE,The name spelled out in block Maidenform was coined by a third business partner Enid Bissett
Our teachers are not an important factor in our educational crisis,[ 'teacher' 'dorky' ],TRUE,Our dorky teachers are not an important factor in our educational crisis
In Los Angeles it 's important to catch people just after work,[ 'people' 'standing' ],TRUE,In Los Angeles it 's important to catch people standing just after work
South African gold stocks ended marginally firmer,[ 'stock' 'green' ],TRUE,South African gold stocks that are green ended marginally firmer
In Los Angeles it 's important to catch people just after work,[ 'work' 'OF' 'art' ],FALSE,In Los Angeles it 's important to catch people just after work of art
Sales rose 11 % to 7.73 billion from 6.94 billion,[ 'sale' 'at' 'company' ],TRUE,Sales at the company rose 11 % to 7.73 billion from 6.94 billion
Mr. Coffee is a professor at Columbia Law School,[ 'professor' 'napping' ],TRUE,Mr. Coffee is a professor napping at Columbia Law School
Sales rose 11 % to 7.73 billion from 6.94 billion,[ 'sale' 'red' ],TRUE,Red sales rose 11 % to 7.73 billion from 6.94 billion
In Los Angeles it 's important to catch people just after work,[ 'work' 'iron' ],FALSE,In Los Angeles it 's important to catch people just after iron work
Sales rose to 406 million from 356 million the year earlier,[ 'year' 'white' ],FALSE,Sales rose to 406 million from 356 million the white year earlier
Consider Adopting Your Spouse 's Name,[ 'name' 'white' ],FALSE,Consider Adopting Your Spouse 's White Name
Cathay officials decline to comment on the speculation,[ 'official' 'for' 'tennis' ],TRUE,Cathay officials for tennis decline to comment on the speculation
The fundamentals do n't change in an hour he says,[ 'hour' 'black' ],FALSE,The fundamentals do n't change in a black hour he says
Unless the questions are answered I will keep on going,[ 'question' 'black' ],TRUE,Unless the black questions are answered I will keep on going
Cathay officials decline to comment on the speculation,[ 'official' 'tennis' ],TRUE,Cathay tennis officials decline to comment on the speculation
Harsco declined to say what country placed the order,[ 'country' 'foreign' ],TRUE,Harsco declined to say what foreign country placed the order
Lack of important needed information can cause fear,[ 'information' 'yellow' ],TRUE,Lack of important needed yellow information can cause fear
The company says those holdings constitute the third-biggest real-estate portfolio in Belgium,[ 'portfolio' 'black' ],TRUE,The company says those holdings constitute the third-biggest real-estate portfolio that is black in Belgium
It does n't look nice on the outside while getting mealy inside,[ 'outside' 'clock' 'building' ],TRUE,It does n't look nice on the outside of the clock building while getting mealy inside
Harsco declined to say what country placed the order,[ 'order' 'ready' ],TRUE,Harsco declined to say what country placed the order that is ready
That may be the last thing she needs,[ 'thing' 'ON' 'suitcase' ],TRUE,That may be the last thing on a suitcase she needs
That may be the last thing she needs,[ 'thing' 'black' ],TRUE,That may be the last black thing she needs
Most other states have enacted similar bans,[ 'state' 'park' 'sign' ],FALSE,Most other state park signs have enacted similar bans
Most other states have enacted similar bans,[ 'ban' 'baked' ],FALSE,Most other states have enacted similar baked bans
There will be no sightseeing no shopping and no social events,[ 'sightseeing' 'vessel for Niagara Falls' 'tourists' ],TRUE,There will be no sightseeing vessel for Niagara Falls' tourists no shopping and no social events
There will be no sightseeing no shopping and no social events,[ 'shopping' 'written on' 'sign' ],FALSE,There will be no sightseeing no shopping written on a sign and no social events
There will be no sightseeing no shopping and no social events,[ 'shopping' 'area' ],TRUE,There will be no sightseeing no shopping area and no social events
Paper work on how it was spent is incomplete,[ 'work' 'iron' ],FALSE,Paper ironwork on how it was spent is incomplete
Mr. Ely 57 years old temporarily increases the board to seven members,[ 'year' 'white' ],FALSE,Mr. Ely 57 white years old temporarily increases the board to seven members
She said a more aggressive move was n't needed,[ 'mechanism' 'makes it' 'move' ],TRUE,She said a more aggressive mechanism that makes it move was n't needed
There will be no sightseeing no shopping and no social events,[ 'event' 'down' 'street' ],TRUE,There will be no sightseeing no shopping and no social events down the street
There will be no sightseeing no shopping and no social events,[ 'event' 'here' ],TRUE,There will be no sightseeing no shopping and no social events here
The two sides had n't met since Oct. 18,[ 'side' 'white' ],TRUE,The two white sides had n't met since Oct. 18
He is negotiating a rich book contract to boot,[ 'book' 'white' ],FALSE,He is negotiating a rich white book contract to boot
Still there is money to be made,[ 'money' 'paper' ],TRUE,Still there is paper money to be made
COMPANIES SEEKING to make insurers pay for pollution cleanup win court victory,[ 'company' 'has' 'name' ],TRUE,COMPANIES with a name SEEKING to make insurers pay for pollution cleanup win court victory
Meanwhile Sotheby 's guarantee is raising eyebrows in the art world,[ 'eyebrow' 'OF' 'man' ],TRUE,Meanwhile Sotheby 's guarantee is raising the eyebrows of a man in the art world
Now the push is on for more-distinctive shows,[ 'show' 'kite' ],TRUE,Now the push is on for more-distinctive kite shows
Meanwhile Sotheby 's guarantee is raising eyebrows in the art world,[ 'art' 'ON' 'wall' ],TRUE,Meanwhile Sotheby 's guarantee is raising eyebrows in the art on the wall world
Now the analyst said only minor points remain to be cleaned up,[ 'point' 'under' 'neck' ],FALSE,Now the analyst said only minor points under the neck remain to be cleaned up
Which types of stocks currently have the greatest earnings risks,[ 'type' 'black' ],TRUE,Which types of black stocks currently have the greatest earnings risks
No lawyers or tape recorders were present,[ 'lawyer' 'showing a' 'paper' ],TRUE,No lawyers showing a paper or tape recorders were present
Which types of stocks currently have the greatest earnings risks,[ 'stock' 'OF' 'broccoli' ],FALSE,Which types of stocks of broccoli currently have the greatest earnings risks
It was worth it just for the look on Albert 's face,[ 'face' 'OF' 'dog' ],FALSE,It was worth it just for the look on Albert 's face of a dog
There 's no finger to be pointed she said,[ 'finger' 'white' ],TRUE,There 's no white finger to be pointed she said
The markets are complex as is the environment in which they function,[ 'market' 'outdoor' ],TRUE,The outdoor markets are complex as is the environment in which they function
It was worth it just for the look on Albert 's face,[ 'face' 'white' ],TRUE,It was worth it just for the look on Albert 's white face
The lobby says no again,[ 'lobby' 'OF' 'building' ],FALSE,The lobby of the building says no again
In Texas taxes and development costs are also lower they said,[ 'development' 'yellow' ],FALSE,In Texas taxes and yellow development costs are also lower they said
No lawyers or tape recorders were present,[ 'tape' 'yellow' ],TRUE,No lawyers or yellow tape recorders were present
In Texas taxes and development costs are also lower they said,[ 'cost' 'displayed in front of' 'banana' ],FALSE,In Texas taxes and development costs displayed in front of a banana are also lower they said
He intends to add to the litigation staff,[ 'staff' 'being held by' 'statue' ],FALSE,He intends to add to the litigation staff being held by a statue
No lawyers or tape recorders were present,[ 'recorder' 'ON' 'paper' ],FALSE,No lawyers or tape recorders on paper were present
But they think promotions are limited,[ 'promotion' 'from' 'victoria's secret' ],TRUE,But they think promotions from Victoria's Secret are limited
He intends to add to the litigation staff,[ 'staff' 'kitchen' ],TRUE,He intends to add to the litigation kitchen staff
No lawyers or tape recorders were present,[ 'recorder' 'video' ],TRUE,No lawyers or video tape recorders were present
Bond prices were little changed in sluggish activity,[ 'bond' 'black ' ],TRUE,Black bond prices were little changed in sluggish activity
Terms on both deals were n't disclosed,[ 'deal' 'OF' 'bananas' ],FALSE,Terms on both deals of bananas were n't disclosed
Galveston-Houston makes and markets products for the construction mining and energy industries,[ 'product' 'bathroom' ],TRUE,Galveston-Houston makes and markets bathroom products for the construction mining and energy industries
Not everybody was making money,[ 'money' 'under' 'card' ],FALSE,Not everybody was making money under the card
Galveston-Houston makes and markets products for the construction mining and energy industries,[ 'construction' 'gate' ],FALSE,Galveston-Houston makes and markets products for the construction gate mining and energy industries
